📺央视频道,#genre#
CCTV-1,http://180.213.170.24:8188/rtp/239.5.1.4:5000
CCTV-1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV-3,http://180.213.170.24:8188/rtp/239.5.1.101:5000
CCTV-3,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://180.213.170.24:8188/rtp/239.5.1.6:5000
CCTV-4,http://171.15.18.199:8180/TV00000000000000000004@HHZT
CCTV-5,http://180.213.170.24:8188/rtp/239.5.1.102:5000
CCTV-5,http://113.26.202.52:1299/tsfile/live/0005_1.m3u8
CCTV-5+,http://180.213.170.24:8188/rtp/239.5.1.7:5000
CCTV-5+,http://113.26.202.52:1299/tsfile/live/0016_1.m3u8
CCTV-6,http://113.26.202.52:1299/tsfile/live/0006_1.m3u8
CCTV-6,http://180.213.170.24:8188/rtp/239.5.1.103:5000
CCTV-6,http://171.15.18.199:8180/TV00000000000000000006@HHZT
CCTV-6,http://221.2.148.205:8154/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://180.213.170.24:8188/rtp/239.5.1.8:5000
CCTV-7,http://171.15.18.199:8180/TV00000000000000000007@HHZT
CCTV-8,http://180.213.170.24:8188/rtp/239.5.1.104:5000
CCTV-8,http://171.15.18.199:8180/TV00000000000000000008@HHZT
CCTV-9,http://171.15.18.199:8180/TV00000000000000000009@HHZT
CCTV-10,http://180.213.170.24:8188/rtp/239.5.1.10:5000
CCTV-11,http://180.213.170.24:8188/rtp/239.5.1.137:5000
CCTV-11,http://111.227.196.164:9901/tsfile/live/0011_1.m3u8
CCTV-13,http://180.213.170.24:8188/rtp/239.5.1.138:5000
CCTV-14,http://180.213.170.24:8188/rtp/239.5.1.12:5000
CCTV-14,http://111.227.196.164:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://180.213.170.24:8188/rtp/239.5.1.139:5000
CCTV-16,http://180.213.170.24:8188/rtp/239.5.1.146:5000
CCTV-17,http://180.213.170.24:8188/rtp/239.5.1.140:5000
CCTV-17,http://zqh2333.top:2222/rtp/239.93.24.92:5140

💰央视付费频道,#genre#
风云音乐,http://180.213.170.24:8188/rtp/239.5.1.128:5000
兵器科技,http://180.213.170.24:8188/rtp/239.5.1.125:5000

📡卫视频道,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://180.213.170.24:8188/rtp/239.5.1.14:5000
湖南卫视,http://180.213.170.24:8188/rtp/239.5.1.16:5000
湖北卫视,http://180.213.170.24:8188/rtp/239.5.1.20:5000
重庆卫视,http://180.213.170.24:8188/rtp/239.5.1.47:5000
东方卫视,http://180.213.170.24:8188/rtp/239.5.1.81:5000
广西卫视,http://180.213.170.24:8188/rtp/239.5.1.110:5000
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
海南卫视,http://180.213.170.24:8188/rtp/239.5.1.111:5000
河北卫视,http://180.213.170.24:8188/rtp/239.5.1.82:5000
河北卫视,http://116.128.242.83:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://180.213.170.24:8188/rtp/239.5.1.109:5000
江西卫视,http://180.213.170.24:8188/rtp/239.5.1.84:5000
内蒙古卫视,http://zqh2333.top:2222/rtp/239.93.24.8:5140
宁夏卫视,http://124.128.73.58:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://zqh2333.top:2222/rtp/239.93.24.6:5140
四川卫视,http://180.213.170.24:8188/rtp/239.5.1.22:5000
深圳卫视,http://180.213.170.24:8188/rtp/239.5.1.19:5000
西藏卫视,http://218.8.87.96:4000/rtp/229.58.190.177:5000

🪁动画频道,#genre#

🎵音乐频道,#genre#
斗鱼音乐MV频道,http://zzy789.xyz/douyu1.php?id=3870925

🐟斗鱼影剧,#genre#
斗鱼电影HD4,http://zzy789.xyz/douyu1.php?id=85894
斗鱼电影HD7,http://zzy789.xyz/douyu1.php?id=20415
斗鱼电视剧HD6,http://zzy789.xyz/douyu1.php?id=431460
斗鱼电视剧1,http://zzy789.xyz/douyu1.php?id=299854
斗鱼电视剧4,http://zzy789.xyz/douyu1.php?id=4290711
斗鱼电视剧8,http://zzy789.xyz/douyu1.php?id=5261342
斗鱼电视剧12,http://zzy789.xyz/douyu1.php?id=4373285
斗鱼电视剧13,http://zzy789.xyz/douyu1.php?id=3439096
斗鱼电视剧22,http://zzy789.xyz/douyu1.php?id=10297898
斗鱼电视剧25,http://zzy789.xyz/douyu1.php?id=7623292

🕘️更新时间,#genre#
2025-09-30 18:23:18,http://180.213.170.24:8188/rtp/239.5.1.4:5000
